"Preventable-injury-related deaths by month, leading cause, and year, United States, 1999-2021","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","Month","All causes","Poisoning","Motor vehicle","Falls","Choking (a)","Drowning (b)","Fire, flames, or smoke","Mechanical suffocation","Natural heat or cold","Struck by or against","All other causes","","","","","","","","","","","","",""
"2008","April","9,841","2,628","3,161","1,928","380","278","238","158","40","66","964","","","","","","","","","","","","",""
"2008","May","10,539","2,745","3,419","2,046","343","377","222","160","22","77","1,128","","","","","","","","","","","","",""
"2008","June","10,293","2,416","3,483","1,910","326","552","164","129","103","85","1,125","","","","","","","","","","","","",""
"2008","July","10,545","2,485","3,513","1,996","307","642","153","152","72","90","1,135","","","","","","","","","","","","",""
"2008","August","10,548","2,503","3,748","1,926","325","476","183","157","77","57","1,096","","","","","","","","","","","","",""
"2008","September","9,660","2,390","3,358","1,873","326","269","149","140","25","99","1,031","","","","","","","","","","","","",""
"2008","October","10,209","2,536","3,562","2,033","374","190","232","137","38","80","1,027","","","","","","","","","","","","",""
"2008","November","9,749","2,509","3,275","1,980","376","137","250","122","61","65","974","","","","","","","","","","","","",""
"2008","December","10,397","2,757","3,242","2,176","428","135","342","136","169","53","959","","","","","","","","","","","","",""
"2007","Total","123,706","29,846","43,945","22,631","4,344","3,443","3,286","1,653","1,020","812","12,726","","","","","","","","","","","","",""
"2007","January","10,058","2,622","3,227","1,905","377","127","418","127","152","63","1,040","","","","","","","","","","","","",""
"2007","February","9,526","2,501","3,083","1,746","388","128","388","114","177","64","937","","","","","","","","","","","","",""
"2007","March","10,466","2,603","3,688","1,926","363","222","324","131","66","52","1,091","","","","","","","","","","","","",""
"2007","April","10,046","2,532","3,566","1,819","369","236","274","114","38","57","1,041","","","","","","","","","","","","",""
"2007","May","10,376","2,400","3,881","1,754","339","369","258","179","25","68","1,103","","","","","","","","","","","","",""
"2007","June","10,362","2,414","3,860","1,752","319","523","184","140","41","52","1,077","","","","","","","","","","","","",""
"2007","July","10,998","2,451","4,079","1,895","327","570","203","148","74","88","1,163","","","","","","","","","","","","",""
"2007","August","10,837","2,443","3,915","1,863","349","519","177","158","147","85","1,181","","","","","","","","","","","","",""
