DATE,IPN31152N
2004-11-01,120.8953
2004-12-01,111.6323
2005-01-01,130.6854
2005-02-01,148.6720
2005-03-01,159.7888
2005-04-01,172.3896
2005-05-01,170.5074
2005-06-01,196.8168
2005-07-01,190.8747
2005-08-01,179.8730
2005-09-01,154.2417
2005-10-01,144.6821
2005-11-01,122.6120
2005-12-01,107.2947
2006-01-01,131.2470
2006-02-01,144.7574
2006-03-01,156.8610
2006-04-01,168.2512
2006-05-01,160.4328
2006-06-01,183.1904
2006-07-01,176.5798
2006-08-01,164.7898
2006-09-01,146.8689
2006-10-01,128.3124
2006-11-01,111.4259
2006-12-01,102.6242
2007-01-01,126.6583
2007-02-01,139.5341
2007-03-01,153.5682
2007-04-01,170.5186
2007-05-01,167.8399
2007-06-01,180.6621
2007-07-01,167.7515
2007-08-01,149.7033
2007-09-01,142.4271
2007-10-01,126.7303
2007-11-01,104.3584
2007-12-01,99.8164
2008-01-01,108.3446
2008-02-01,125.2216
2008-03-01,140.2533
2008-04-01,142.2765
2008-05-01,144.1391
2008-06-01,169.9474
2008-07-01,145.4840
2008-08-01,140.2358
2008-09-01,124.4143
2008-10-01,109.3021
2008-11-01,102.7687
2008-12-01,84.0576
2009-01-01,94.4861
2009-02-01,115.5756
2009-03-01,130.0360
2009-04-01,133.4888
2009-05-01,138.4205
2009-06-01,150.8219
2009-07-01,134.8999
2009-08-01,132.9418
2009-09-01,119.8155
2009-10-01,107.1070
2009-11-01,88.1288
2009-12-01,78.0379
2010-01-01,91.5767
2010-02-01,110.8490
2010-03-01,127.5013
2010-04-01,133.0706
2010-05-01,134.9891
2010-06-01,144.4146
2010-07-01,129.2715
2010-08-01,125.9606
2010-09-01,116.4420
2010-10-01,98.0660
2010-11-01,81.3469
2010-12-01,73.0127
2011-01-01,92.9059
2011-02-01,106.5027
2011-03-01,114.6102
2011-04-01,116.9919
2011-05-01,116.5028
2011-06-01,121.1542
2011-07-01,116.6278
2011-08-01,115.3659
2011-09-01,102.0775
2011-10-01,91.3894
2011-11-01,76.7518
2011-12-01,71.6852
2012-01-01,85.6785
2012-02-01,99.8943
2012-03-01,112.8658
2012-04-01,115.1975
2012-05-01,114.9485
2012-06-01,124.7514
2012-07-01,112.6883
2012-08-01,107.9790
2012-09-01,96.6608
2012-10-01,89.1442
2012-11-01,75.0457
2012-12-01,68.9517
2013-01-01,78.3149
2013-02-01,98.2757
2013-03-01,108.1460
2013-04-01,108.1721
2013-05-01,111.1872
2013-06-01,129.0208
2013-07-01,112.6736
2013-08-01,106.3628
2013-09-01,98.4988
2013-10-01,91.3054
2013-11-01,80.3589
2013-12-01,68.0632
2014-01-01,86.7450
2014-02-01,102.1526
2014-03-01,114.2537
2014-04-01,119.8511
2014-05-01,117.1011
2014-06-01,131.5337
2014-07-01,117.6670
2014-08-01,111.7334
2014-09-01,100.8408
2014-10-01,91.4055
2014-11-01,86.6546
2014-12-01,75.4042
2015-01-01,85.5710
2015-02-01,100.5226
2015-03-01,109.5310
2015-04-01,108.3316
2015-05-01,106.0775
2015-06-01,116.2537
2015-07-01,108.6167
2015-08-01,112.6309
2015-09-01,100.9084
2015-10-01,94.6321
2015-11-01,86.6609
2015-12-01,77.8147
2016-01-01,93.9454
2016-02-01,103.3039
2016-03-01,117.7182
2016-04-01,125.7900
2016-05-01,122.9154
2016-06-01,134.1620
2016-07-01,125.5060
2016-08-01,121.3947
2016-09-01,107.5077
2016-10-01,100.2955
2016-11-01,85.2175
2016-12-01,79.4294
2017-01-01,88.3438
2017-02-01,106.2418
2017-03-01,113.5237
2017-04-01,115.9634
2017-05-01,109.7821
